learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename

0.8;3000.0;0.8;0.5718;a,t;11.743;0.3476;153.8258;125.7089;reports/run_1/Feb 18, 2016 6:20:50 PM6eca885e-6951-497a-aca1-0a5c0ad91972
0.8;2000.0;0.8;0.5687;t,t;15.3765;0.3342;152.9796;120.8736;reports/run_1/Feb 19, 2016 4:46:36 AMcce69128-b778-4370-b8b5-c2bb7ab0d5b8
0.8;1000.0;0.8;0.5736;t,t;16.7983;0.3323;154.319;120.174;reports/run_1/Feb 19, 2016 4:42:41 AM679348ba-3c9e-4cf1-be0f-54501e67d5d9
0.8;3000.0;0.8;0.5571;t,t;20.5898;0.3195;149.8588;115.5593;reports/run_1/Feb 19, 2016 4:54:53 AM20b35feb-334b-4415-9ddb-443d03691b7c
0.8;2000.0;0.8;0.5422;a,t;22.9595;0.3078;145.8549;111.3145;reports/run_1/Feb 18, 2016 6:17:09 PM4a68cadc-e551-4562-b3af-29cda6adb34a
0.8;500.0;0.8;0.5109;t,a;23.96;0.2991;137.4411;108.1947;reports/run_1/Feb 18, 2016 11:01:34 AMbbb0b27c-3b42-4e2e-a1be-7653a300d1ef
0.8;500.0;0.8;0.5354;a,t;25.2765;0.2977;144.044;107.6864;reports/run_1/Feb 18, 2016 5:57:23 PM5b8a90f4-f194-404e-b924-7bd97fb88141
0.8;1000.0;0.8;0.5243;a,t;25.6451;0.291;141.0519;105.232;reports/run_1/Feb 18, 2016 6:00:03 PM78120dc6-fc75-4fb8-9365-04a669111b89
0.8;500.0;0.8;0.5103;t,t;26.9616;0.2885;137.2773;104.3437;reports/run_1/Feb 19, 2016 4:29:01 AM47f5f037-b8aa-4bdf-9070-0a08c5235f08
0.8;1000.0;0.8;0.5015;t,a;33.5966;0.264;134.8985;95.485;reports/run_1/Feb 18, 2016 11:10:55 AM9efd6e75-ceb1-411d-b48a-922700fda222
0.8;3000.0;0.8;0.449;t,a;33.8073;0.2691;120.7803;97.3261;reports/run_1/Feb 18, 2016 11:26:06 AM843373a8-bb0b-4778-8d87-6971d2fb10e7
0.8;2000.0;0.8;0.502;t,a;34.4392;0.2633;135.0374;95.218;reports/run_1/Feb 18, 2016 11:25:46 AM6b4d36e4-8a64-4457-be13-b79a0c6f7b1b
0.5;3000.0;0.8;0.4479;t,t;41.4429;0.2341;120.4912;84.6592;reports/run_1/Feb 19, 2016 4:02:55 AMfb42789a-0378-4bd3-8d58-55cc7d4e69fe
0.8;1000.0;0.8;0.414;a,a;45.129;0.2262;111.3777;81.825;reports/run_1/Feb 18, 2016 3:59:10 AM71146f91-2f71-4c94-a49a-ead337233af7
0.8;3000.0;0.8;0.4208;a,a;45.129;0.2238;113.2015;80.9326;reports/run_1/Feb 18, 2016 4:03:29 AM2c2f183a-13e2-44e6-bfea-c2f63f322ccf
0.8;3000.0;0.8;0.4585;t;46.4455;0.2141;123.3363;77.4421;reports/run_1/Feb 17, 2016 11:46:21 PM02324180-8ba1-4f90-a8ee-5257c8b08dc8
0.5;2000.0;0.8;0.424;t,t;48.3939;0.2104;114.0541;76.1145;reports/run_1/Feb 19, 2016 4:00:58 AMcceea341-a69c-46bc-9e2f-5aa4bb79add8
0.8;2000.0;0.8;0.4466;t;48.8678;0.206;120.1431;74.4997;reports/run_1/Feb 17, 2016 11:46:03 PM19ac6e1e-9033-43ad-b2e3-cfd1b398dd9f
0.8;500.0;0.8;0.4478;t;49.1311;0.2032;120.4547;73.4787;reports/run_1/Feb 17, 2016 11:33:53 PMaac7d23e-11fc-48e4-8c45-3e24d4ac01dc
0.8;2000.0;0.8;0.4121;a,a;49.3418;0.2214;110.8489;80.0881;reports/run_1/Feb 18, 2016 4:02:22 AMa7251847-c98c-46d3-a4ed-729fa844c8e8
0.8;1000.0;0.8;0.4434;t;49.9737;0.2005;119.2695;72.5318;reports/run_1/Feb 17, 2016 11:36:06 PM9c0a564c-0c7a-4a9a-a0c6-84ed807be2bf
0.8;500.0;0.8;0.3968;a,a;51.6061;0.2025;106.735;73.2393;reports/run_1/Feb 18, 2016 3:49:41 AM22d9912e-c63b-401c-ac17-88ae63aa427c
0.8;2000.0;0.8;0.4326;a;52.0274;0.1913;116.3695;69.187;reports/run_1/Feb 17, 2016 7:45:52 PMb0ff991f-ee0e-43f2-801a-9471f03d86d4
0.8;1000.0;0.8;0.4098;a;56.6614;0.175;110.235;63.2926;reports/run_1/Feb 17, 2016 7:43:47 PM91773f97-8f94-4ff8-9020-8f09a373ea51
